file	diff between sums across all n-grams	% suicide 1-grams	% suicide 2-grams	% suicide 3-grams	% suicide 4-grams	% suicide 5-grams	% suicide 6-grams	% non-suicide 1-grams	% non-suicide 2-grams	% non-suicide 3-grams	% non-suicide 4-grams	% non-suicide 5-grams	% non-suicide 6-grams	diff for 1-gram %s	diff for 2-gram %s	diff for 3-gram %s	diff for 4-gram %s	diff for 5-gram %s	diff for 6-gram %s	average for all suicide n-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.1.txt	0.0455572349	0.0449438202	0.0884353741	0.0709677419	0.0189873418	0.00625	0	0.0561797753	0.1020408163	0.0258064516	0	0	0	-0.0112359551	-0.0136054422	0.0451612903	0.0189873418	0.00625	0	0.0382640463	0.0306711739	0.0075928725
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.10.txt	0.0005293406	0.0416666667	0.0657894737	0.0243902439	0.0229885057	0	0	0	0.1184210526	0.0243902439	0.0114942529	0	0	0.0416666667	-0.0526315789	0	0.0114942529	0	0	0.025805815	0.0257175916	8.82234321436E-005
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.11.txt	-0.2115963847	0.018018018	0.0540540541	0.0050505051	0.0049261084	0	0	0.0810810811	0.0972972973	0.0808080808	0.0295566502	0.0049019608	0	-0.0630630631	-0.0432432432	-0.0757575758	-0.0246305419	-0.0049019608	0	0.0136747809	0.048940845	-0.0352660641
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.12.txt	-0.0935064935	0.0543478261	0.0714285714	0.0242424242	0	0	0	0.0543478261	0.1103896104	0.0787878788	0	0	0	0	-0.038961039	-0.0545454545	0	0	0	0.025003137	0.0405875525	-0.0155844156
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.13.txt	-0.1998351423	0.0471698113	0.0473684211	0.0390243902	0.0047169811	0	0	0.1226415094	0.0947368421	0.087804878	0.0283018868	0.0046296296	0	-0.0754716981	-0.0473684211	-0.0487804878	-0.0235849057	-0.0046296296	0	0.0230466006	0.0563524577	-0.033305857
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.14.txt	-0.1358288124	0	0.0531914894	0.0792079208	0.0485436893	0.0096153846	0	0.0819672131	0.1063829787	0.1089108911	0.0291262136	0	0	-0.0819672131	-0.0531914894	-0.0297029703	0.0194174757	0.0096153846	0	0.0317597473	0.0543978828	-0.0226381354
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.15.txt	-0.012490087	0.0405405405	0.0714285714	0.052173913	0	0	0	0	0.1071428571	0.0608695652	0.0086206897	0	0	0.0405405405	-0.0357142857	-0.0086956522	-0.0086206897	0	0	0.0273571708	0.029438852	-0.0020816812
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.16.txt	-0.0266399166	0.0461538462	0.1150442478	0.0564516129	0	0	0	0.0615384615	0.0796460177	0.064516129	0.0234375	0.0151515152	0	-0.0153846154	0.0353982301	-0.0080645161	-0.0234375	-0.0151515152	0	0.0362749511	0.0407149372	-0.0044399861
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.17.txt	-0.0225455606	0.0675675676	0.0277777778	0.025862069	0.0168067227	0.0083333333	0	0.0405405405	0.1111111111	0.0172413793	0	0	0	0.027027027	-0.0833333333	0.0086206897	0.0168067227	0.0083333333	0	0.0243912451	0.0281488385	-0.0037575934
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.18.txt	-0.1028649971	0.0579710145	0.0093457944	0.0085470085	0	0	0	0.0434782609	0.0841121495	0.0427350427	0.0084033613	0	0	0.0144927536	-0.0747663551	-0.0341880342	-0.0084033613	0	0	0.0126439696	0.0297881357	-0.0171441662
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.19.txt	-0.0461479819	0.0508474576	0.0581395349	0.0555555556	0.0108695652	0	0	0.0508474576	0.1046511628	0.0222222222	0.0217391304	0.010989011	0.0111111111	0	-0.0465116279	0.0333333333	-0.0108695652	-0.010989011	-0.0111111111	0.0292353522	0.0369266825	-0.0076913303
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.2.txt	0.0177550777	0.0666666667	0.05	0.0405405405	0.0066225166	0	0	0.0333333333	0.0857142857	0.027027027	0	0	0	0.0333333333	-0.0357142857	0.0135135135	0.0066225166	0	0	0.027304954	0.0243457743	0.0029591796
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.20.txt	-0.0256008359	0.0142857143	0.0873015873	0.0620689655	0.0194805195	0	0	0.0428571429	0.1111111111	0.0482758621	0.0064935065	0	0	-0.0285714286	-0.0238095238	0.0137931034	0.012987013	0	0	0.0305227978	0.0347896038	-0.004266806
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.21.txt	-0.0049802878	0.0322580645	0.0410958904	0.0519480519	0.0189873418	0.0062111801	0	0.0215053763	0.0821917808	0.0454545455	0.0063291139	0	0	0.0107526882	-0.0410958904	0.0064935065	0.0126582278	0.0062111801	0	0.0250834215	0.0259134694	-0.000830048
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.22.txt	0.0344552034	0.0447761194	0.0377358491	0.0446428571	0.0170940171	0	0	0	0.0566037736	0.0446428571	0.0085470085	0	0	0.0447761194	-0.0188679245	0	0.0085470085	0	0	0.0240414738	0.0182989399	0.0057425339
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.23.txt	-0.1169956156	0.023255814	0.0890410959	0.0566037736	0.0303030303	0.005988024	0	0.0348837209	0.1506849315	0.0943396226	0.0303030303	0.0119760479	0	-0.011627907	-0.0616438356	-0.0377358491	0	-0.005988024	0	0.0341986229	0.0536978922	-0.0194992693
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.24.txt	-0.0919014452	0.0735294118	0.128440367	0.0504201681	0	0	0	0.0735294118	0.1376146789	0.0840336134	0.0409836066	0.0081300813	0	0	-0.0091743119	-0.0336134454	-0.0409836066	-0.0081300813	0	0.0420649911	0.0573818987	-0.0153169075
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.25.txt	0.1257753114	0.0617283951	0.1417322835	0.0791366906	0.0275862069	0.0205479452	0	0.0617283951	0.0866141732	0.035971223	0.0137931034	0.0068493151	0	0	0.0551181102	0.0431654676	0.0137931034	0.0136986301	0	0.0551219202	0.0341593683	0.0209625519
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.26.txt	-0.0853725263	0	0.0731707317	0.037593985	0.0144927536	0.0070921986	0	0	0.1138211382	0.0676691729	0.0362318841	0	0	0	-0.0406504065	-0.030075188	-0.0217391304	0.0070921986	0	0.0220582781	0.0362870325	-0.0142287544
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.27.txt	0.0133409881	0.0518518519	0.0848214286	0.0209205021	0.0041493776	0.0041322314	0	0.0518518519	0.0714285714	0.0251046025	0.0041493776	0	0	0	0.0133928571	-0.0041841004	0	0.0041322314	0	0.0276458986	0.0254224006	0.002223498
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.28.txt	0.0114590804	0.05	0.0337078652	0.0212765957	0	0	0	0.0166666667	0.0449438202	0.0319148936	0	0	0	0.0333333333	-0.0112359551	-0.0106382979	0	0	0	0.0174974102	0.0155875634	0.0019098467
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.29.txt	-0.0792030949	0.0701754386	0.075	0.0119047619	0	0	0	0.0526315789	0.1125	0.0595238095	0.011627907	0	0	0.0175438596	-0.0375	-0.0476190476	-0.011627907	0	0	0.0261800334	0.0393805492	-0.0132005158
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.3.txt	-0.019801507	0.0113636364	0.0902777778	0.0526315789	0	0	0	0.0113636364	0.1041666667	0.0394736842	0.0128205128	0.00625	0	0	-0.0138888889	0.0131578947	-0.0128205128	-0.00625	0	0.0257121655	0.0290124167	-0.0033002512
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.30.txt	-0.0236691816	0.0333333333	0.0314465409	0.0877192982	0.0287356322	0	0	0.0111111111	0.1006289308	0.0701754386	0.0229885057	0	0	0.0222222222	-0.0691823899	0.0175438596	0.0057471264	0	0	0.0302058008	0.0341506644	-0.0039448636
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.31.txt	-0.0059532568	0.0263157895	0.1048387097	0.0757575758	0.0072992701	0	0	0.0657894737	0.0725806452	0.0454545455	0.0291970803	0.0071428571	0	-0.0394736842	0.0322580645	0.0303030303	-0.0218978102	-0.0071428571	0	0.0357018908	0.0366941003	-0.0009922095
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.32.txt	-0.0669548119	0.0487804878	0.072	0.023255814	0.0152671756	0	0	0.0609756098	0.088	0.0620155039	0.0152671756	0	0	-0.012195122	-0.016	-0.0387596899	0	0	0	0.0265505796	0.0377097149	-0.0111591353
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.33.txt	0.0320266834	0.0930232558	0.078125	0.0287769784	0.006993007	0.0068965517	0	0.0465116279	0.078125	0.0431654676	0.013986014	0	0	0.0465116279	0	-0.0143884892	-0.006993007	0.0068965517	0	0.0356357988	0.0302980183	0.0053377806
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.34.txt	-0.0008462913	0.0208333333	0.0709677419	0.0479041916	0.0116959064	0	0	0.0520833333	0.064516129	0.0239520958	0.0116959064	0	0	-0.03125	0.0064516129	0.0239520958	0	0	0	0.0252335289	0.0253745774	-0.0001410485
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.35.txt	0.0245071939	0.0298507463	0.0917431193	0.0172413793	0.0084745763	0	0	0.0149253731	0.0733944954	0.0344827586	0	0	0	0.0149253731	0.0183486239	-0.0172413793	0.0084745763	0	0	0.0245516369	0.0204671045	0.0040845323
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.36.txt	-0.0512275411	0.024691358	0.0563380282	0.0753424658	0.0201342282	0	0	0.012345679	0.1267605634	0.0684931507	0.0201342282	0	0	0.012345679	-0.0704225352	0.0068493151	0	0	0	0.02941768	0.0379556035	-0.0085379235
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.37.txt	-0.0157995045	0.0454545455	0.0707070707	0.0660377358	0.0272727273	0	0	0.0757575758	0.1212121212	0.0283018868	0	0	0	-0.0303030303	-0.0505050505	0.0377358491	0.0272727273	0	0	0.0349120132	0.037545264	-0.0026332507
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.38.txt	-0.088484335	0.0652173913	0.0666666667	0.0824175824	0.0157068063	0	0	0.0326086957	0.1151515152	0.0934065934	0.0471204188	0.0203045685	0.0099009901	0.0326086957	-0.0484848485	-0.010989011	-0.0314136126	-0.0203045685	-0.0099009901	0.0383347411	0.0530821303	-0.0147473892
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.39.txt	0.027854251	0.08	0.0769230769	0.0350877193	0	0	0	0.04	0.1153846154	0.0087719298	0	0	0	0.04	-0.0384615385	0.0263157895	0	0	0	0.0320017994	0.0273594242	0.0046423752
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.4.txt	-0.0984316227	0.011627907	0.0759493671	0.0517241379	0.0055555556	0	0	0.0348837209	0.1455696203	0.0517241379	0.0111111111	0	0	-0.023255814	-0.0696202532	0	-0.0055555556	0	0	0.0241428279	0.0405480984	-0.0164052704
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.40.txt	-0.0243535666	0.0272727273	0.0821917808	0.0553359684	0.0185185185	0	0	0.0454545455	0.095890411	0.0553359684	0.0074074074	0.0035842294	0	-0.0181818182	-0.0136986301	0	0.0111111111	-0.0035842294	0	0.0305531658	0.0346120936	-0.0040589278
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.41.txt	-0.0968216659	0.0357142857	0.0722891566	0.0215053763	0	0	0	0	0.0722891566	0.0860215054	0.0202020202	0.0291262136	0.0186915888	0.0357142857	0	-0.064516129	-0.0202020202	-0.0291262136	-0.0186915888	0.0215848031	0.0377217474	-0.0161369443
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.42.txt	-0.0267098107	0.0166666667	0.01	0.0636363636	0.0263157895	0.0170940171	0.0083333333	0.0666666667	0.03	0.0545454545	0.0175438596	0	0	-0.05	-0.02	0.0090909091	0.0087719298	0.0170940171	0.0083333333	0.0236743617	0.0281259968	-0.0044516351
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.43.txt	-0.0186222732	0.0641025641	0.0746268657	0.0689655172	0.0133333333	0	0	0.0512820513	0.1194029851	0.0689655172	0	0	0	0.0128205128	-0.0447761194	0	0.0133333333	0	0	0.0368380467	0.0399417589	-0.0031037122
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.44.txt	-0.2854185994	0.0117647059	0.0583941606	0.0065789474	0.0063694268	0.0062111801	0	0.1058823529	0.0948905109	0.0921052632	0.050955414	0.0186335404	0.0122699387	-0.0941176471	-0.0364963504	-0.0855263158	-0.0445859873	-0.0124223602	-0.0122699387	0.0148864035	0.06245617	-0.0475697666
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.45.txt	0.0350053478	0.0943396226	0.0790960452	0.0618556701	0.0147783251	0.004784689	0	0.0471698113	0.0960451977	0.0618556701	0.0147783251	0	0	0.0471698113	-0.0169491525	0	0	0.004784689	0	0.0424757253	0.0366415007	0.0058342246
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.46.txt	-0.1551277139	0.0220994475	0.0534591195	0.0260115607	0.0114285714	0.0057142857	0	0.0939226519	0.0849056604	0.063583815	0.0257142857	0.0057142857	0	-0.0718232044	-0.0314465409	-0.0375722543	-0.0142857143	0	0	0.0197854975	0.0456401165	-0.025854619
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.47.txt	-0.0655505342	0.0306122449	0.1005586592	0.0338164251	0.0137614679	0	0	0.0204081633	0.1284916201	0.0724637681	0.0229357798	0	0	0.0102040816	-0.0279329609	-0.038647343	-0.0091743119	0	0	0.0297914662	0.0407165552	-0.010925089
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.48.txt	-0.0681265666	0.0555555556	0.075	0.0348837209	0	0	0	0.0740740741	0.125	0.023255814	0.0112359551	0	0	-0.0185185185	-0.05	0.011627907	-0.0112359551	0	0	0.0275732127	0.0389276405	-0.0113544278
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.49.txt	0.0827580064	0.0465116279	0.1095890411	0.0621118012	0.0182926829	0	0	0.023255814	0.0684931507	0.0559006211	0.006097561	0	0	0.023255814	0.0410958904	0.0062111801	0.012195122	0	0	0.0394175255	0.0256245245	0.0137930011
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.5.txt	-0.0716792547	0.0215053763	0.0653594771	0.0432098765	0.005988024	0	0	0.0322580645	0.091503268	0.037037037	0.0239520958	0.011627907	0.0113636364	-0.0107526882	-0.0261437908	0.0061728395	-0.0179640719	-0.011627907	-0.0113636364	0.0226771257	0.0346236681	-0.0119465425
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.50.txt	-0.181773994	0.0222222222	0.0372670807	0.0517241379	0.0222222222	0.0054347826	0	0.0555555556	0.1180124224	0.0862068966	0.05	0.0108695652	0	-0.0333333333	-0.0807453416	-0.0344827586	-0.0277777778	-0.0054347826	0	0.0231450743	0.0534407399	-0.0302956657
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.51.txt	-0.0352657047	0.032	0.0776255708	0.0209205021	0	0	0	0.024	0.095890411	0.0376569038	0.0082644628	0	0	0.008	-0.0182648402	-0.0167364017	-0.0082644628	0	0	0.0217576788	0.0276352963	-0.0058776174
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.52.txt	0.007165168	0.0543478261	0.1075949367	0.0946745562	0.0292397661	0.011627907	0.011627907	0.097826087	0.1392405063	0.0473372781	0.0175438596	0	0	-0.0434782609	-0.0316455696	0.0473372781	0.0116959064	0.011627907	0.011627907	0.0515188165	0.0503246218	0.0011941947
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.53.txt	-0.2140198253	0.023255814	0.0263157895	0.0186335404	0	0	0	0.0697674419	0.1447368421	0.0434782609	0.0242424242	0	0	-0.0465116279	-0.1184210526	-0.0248447205	-0.0242424242	0	0	0.011367524	0.0470374948	-0.0356699709
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.54.txt	-0.0589673984	0.0212765957	0.0806451613	0.0461538462	0	0	0	0.0638297872	0.1129032258	0.0153846154	0.0149253731	0	0	-0.0425531915	-0.0322580645	0.0307692308	-0.0149253731	0	0	0.0246792672	0.0345071669	-0.0098278997
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.55.txt	-0.0604158557	0.0476190476	0.0774647887	0.0448717949	0.0188679245	0.0061728395	0	0.0595238095	0.1126760563	0.0769230769	0.0062893082	0	0	-0.0119047619	-0.0352112676	-0.0320512821	0.0125786164	0.0061728395	0	0.0324993992	0.0425687085	-0.0100693093
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.56.txt	-0.1207531476	0.010989011	0.08125	0.043956044	0.0104166667	0	0	0.021978022	0.175	0.0549450549	0.0104166667	0.0050251256	0	-0.010989011	-0.09375	-0.010989011	0	-0.0050251256	0	0.0244352869	0.0445608115	-0.0201255246
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.57.txt	-0.0327842743	0.0310077519	0.0785123967	0.0452830189	0.0073529412	0	0	0.0310077519	0.1115702479	0.0377358491	0.0110294118	0.0035971223	0	0	-0.0330578512	0.0075471698	-0.0036764706	-0.0035971223	0	0.0270260181	0.0324900638	-0.0054640457
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.58.txt	-0.0814685315	0.0542635659	0.0288461538	0.0227272727	0	0	0	0.0542635659	0.1057692308	0.0272727273	0	0	0	0	-0.0769230769	-0.0045454545	0	0	0	0.0176394987	0.0312175873	-0.0135780886
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.59.txt	0.050068622	0.067961165	0.0960451977	0.057591623	0.0102564103	0	0	0.0388349515	0.0960451977	0.0366492147	0.0102564103	0	0	0.0291262136	0	0.0209424084	0	0	0	0.0386423993	0.030297629	0.0083447703
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.6.txt	-0.0480347695	0.0161290323	0.0918367347	0.0392156863	0	0	0	0.0161290323	0.1020408163	0.0392156863	0.0285714286	0.0092592593	0	0	-0.0102040816	0	-0.0285714286	-0.0092592593	0	0.0245302422	0.0325360371	-0.0080057949
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.60.txt	-0.0513866628	0.0481927711	0.0942028986	0.0202702703	0.0198675497	0.0064935065	0	0.0722891566	0.0942028986	0.0540540541	0.0198675497	0	0	-0.0240963855	0	-0.0337837838	0	0.0064935065	0	0.0315044993	0.0400689432	-0.0085644438
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.61.txt	-0.0708978498	0.0373831776	0.0652173913	0.0253807107	0	0	0	0.0560747664	0.0923913043	0.0406091371	0.0098039216	0	0	-0.0186915888	-0.027173913	-0.0152284264	-0.0098039216	0	0	0.0213302133	0.0331465216	-0.0118163083
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.62.txt	-0.0550649653	0.0327868852	0.0510204082	0.0555555556	0.0175438596	0	0	0.0163934426	0.112244898	0.0833333333	0	0	0	0.0163934426	-0.0612244898	-0.0277777778	0.0175438596	0	0	0.0261511181	0.0353286123	-0.0091774942
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.63.txt	0.020013032	0.0210526316	0.0604026846	0.0718954248	0.0194805195	0.0064516129	0	0.0526315789	0.0805369128	0.0196078431	0.0064935065	0	0	-0.0315789474	-0.0201342282	0.0522875817	0.012987013	0.0064516129	0	0.0298804789	0.0265449736	0.0033355053
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.64.txt	-0.0195353248	0.0540540541	0.0631578947	0.0346534653	0.0048543689	0	0	0.0630630631	0.0736842105	0.0346534653	0.0048543689	0	0	-0.009009009	-0.0105263158	0	0	0	0	0.0261199638	0.0293758513	-0.0032558875
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.65.txt	-0.1705458505	0.0144927536	0.0540540541	0.0243902439	0	0	0	0.0434782609	0.1081081081	0.081300813	0.0230769231	0.007518797	0	-0.0289855072	-0.0540540541	-0.0569105691	-0.0230769231	-0.007518797	0	0.0154895086	0.043913817	-0.0284243084
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.66.txt	-0.0119863518	0.0636363636	0.0578947368	0.039800995	0.0099009901	0	0	0.0545454545	0.0789473684	0.0447761194	0.004950495	0	0	0.0090909091	-0.0210526316	-0.0049751244	0.004950495	0	0	0.0285388476	0.0305365729	-0.0019977253
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.67.txt	-0.0673965661	0	0.0769230769	0.0442477876	0	0	0	0.0307692308	0.0961538462	0.0530973451	0.0085470085	0	0	-0.0307692308	-0.0192307692	-0.0088495575	-0.0085470085	0	0	0.0201951441	0.0314279051	-0.011232761
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.68.txt	-0.1474804859	0.0333333333	0.0679012346	0.0386740331	0.0106382979	0	0	0.0444444444	0.1234567901	0.0773480663	0.0372340426	0.0155440415	0	-0.0111111111	-0.0555555556	-0.0386740331	-0.0265957447	-0.0155440415	0	0.0250911498	0.0496712308	-0.024580081
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.69.txt	-0.1485324927	0.027027027	0.0530973451	0.0254237288	0.0165289256	0	0	0.027027027	0.1681415929	0.0508474576	0.0165289256	0.0080645161	0	0	-0.1150442478	-0.0254237288	0	-0.0080645161	0	0.0203461711	0.0451015866	-0.0247554155
elliott_smith.txt.tkzd.txt.POStagged.txt.lem.7.txt	0.0075060814	0.0490196078	0.0828402367	0.0457142857	0.0056497175	0	0	0.0294117647	0.100591716	0.0457142857	0	0	0	0.0196078431	-0.0177514793	0	0.0056497175	0	0	0.030537308	0.0292862944	0.0012510136
