suicide-class	passive/tok	passive/typ	passive/time	(“I” + mental-verb)/time	neut/typ	diff between sums across all n-grams	% non-suicide 2-grams	% non-suicide 4-grams	diff for 1-gram %s	diff for 2-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages	det/token
non-suicide	0	0	0	0	0.28	-0.0198261756	0.0544217687	0.0050761421	0.0273972603	-0.0204081633	0.021294619	-0.0033043626	0.0277777778
non-suicide	0.019650655	0.036437247	0.0179282869	0.0258964143	0.0728744939	0.0083048387	0.0550847458	0.0018621974	0.0384615385	-0.0169491525	0.0210994999	0.0013841398	0.0904059041
non-suicide	0.0215311005	0.0508474576	0.034351145	0.0114503817	0.2372881356	0.0049232195	0.0546448087	0.0023419204	-0.012345679	0.0027322404	0.023367658	0.0008205366	0.0695652174
non-suicide	0.0153846154	0.0394736842	0.0178571429	0	0.1578947368	-0.0345520752	0.056	0.0063694268	-0.0133333333	-0.008	0.0182031236	-0.0057586792	0.1031390135
non-suicide	0	0	0	0	0.075	-0.0498083049	0.062992126	0	-0.0384615385	-0.0393700787	0.0268403272	-0.0083013842	0.1153846154
non-suicide	0.0142045455	0.0306748466	0.0182481752	0.0072992701	0.1533742331	0.0388775129	0.0366972477	0.0026385224	0.0316455696	0.0152905199	0.0128822169	0.0064795855	0.0541237113
non-suicide	0.0307692308	0.0833333333	0.038647343	0.0144927536	0.21875	-0.1054593042	0.0988372093	0.012605042	0.010989011	-0.0697674419	0.0294137457	-0.0175765507	0.0479233227
non-suicide	0	0	0	0.020979021	0.0608695652	-0.1228214679	0.0842696629	0.0153061224	-0.0092592593	-0.0617977528	0.0314493593	-0.0204702446	0.055
non-suicide	0.0064829822	0.0203045685	0.0096385542	0.0192771084	0.0862944162	0.0222800651	0.0298102981	0.002004008	0.0168539326	0.0162601626	0.0181774329	0.0037133442	0.1126961484
non-suicide	0.0068027211	0.0163934426	0.0090909091	0.0136363636	0.1147540984	-0.1163579294	0.0818181818	0.0182481752	-0.0267857143	-0.0363636364	0.0324312266	-0.0193929882	0.0439882698
non-suicide	0.015936255	0.0273972603	0.0132013201	0.0099009901	0.0479452055	0.0050268714	0.0392156863	0.0108695652	0.0444444444	0.0078431373	0.0205720056	0.0008378119	0.0925266904
non-suicide	0	0	0	0	0.0481927711	-0.0904791909	0.0746268657	0.0067114094	-0.012345679	-0.0373134328	0.0256394888	-0.0150798652	0.0714285714
non-suicide	0.004	0.0106382979	0.0046948357	0.0046948357	0.1170212766	0.0649351035	0.037037037	0	0.0212765957	0.037037037	0.0139408829	0.0108225172	0.0653594771
non-suicide	0.0104166667	0.023255814	0.006097561	0.0365853659	0.1162790698	-0.3047964088	0.1285714286	0.0588235294	-0.0227272727	-0.1142857143	0.0593078048	-0.0507994015	0.072
non-suicide	0	0	0	0.0360824742	0.1235955056	-0.1107036731	0.0617059891	0.0145772595	-0.0491803279	-0.0254083485	0.0308455953	-0.0184506122	0.0807365439
non-suicide	0.0102564103	0.0307692308	0.0165289256	0.0330578512	0.1846153846	-0.0931813651	0.0857142857	0	-0.0322580645	-0.0761904762	0.0237163506	-0.0155302275	0.0622222222
non-suicide	0.001980198	0.0037735849	0.0034602076	0.0242214533	0.0716981132	-0.1111304531	0.0705645161	0.0051107325	-0.0368852459	-0.0564516129	0.0320882624	-0.0185217422	0.073089701
non-suicide	0.0073800738	0.0151515152	0.0102564103	0	0.0757575758	-0.0388558352	0.0585774059	0.0073260073	-0.015503876	-0.0083682008	0.0250934044	-0.0064759725	0.0825082508
non-suicide	0.0026525199	0.006993007	0.0032679739	0	0.1188811189	-0.044909846	0.0650406504	0.0033898305	0	-0.0447154472	0.0228460443	-0.0074849743	0.0774647887
non-suicide	0.0135869565	0.0279329609	0.011682243	0.0210280374	0.0893854749	-0.0103137959	0.0597014925	0.0049627792	-0.0188679245	0.0059701493	0.0242742015	-0.001718966	0.0883054893
non-suicide	0	0	0	0.0124223602	0.0481927711	0.0349483204	0.0310077519	0	0.0125	0.015503876	0.0125753661	0.0058247201	0.1130952381
non-suicide	0.0216216216	0.039408867	0.0290909091	0.0218181818	0.0541871921	-0.0148212254	0.0557103064	0.0073349633	0	0	0.0222418066	-0.0024702042	0.1116504854
non-suicide	0.0217983651	0.050955414	0.0375586854	0	0.0445859873	-0.0170509966	0.0360655738	0.0027624309	-0.0204081633	0.0032786885	0.0164885986	-0.0028418328	0.1383495146
non-suicide	0.0034602076	0.0133333333	0.0036231884	0	0.3466666667	-0.145043266	0.053030303	0.0054644809	-0.0519480519	-0.0378787879	0.0297743792	-0.0241738777	0.039039039
non-suicide	0.0033783784	0.0072463768	0.0035714286	0.0321428571	0.1376811594	-0.011906212	0.0541516245	0	0	-0.0144404332	0.02489148	-0.0019843687	0.061452514
non-suicide	0.0227272727	0.0503597122	0.0353535354	0	0.1870503597	0.017426115	0.0395256917	0	-0.0074074074	0.0118577075	0.0200444054	0.0029043525	0.15
non-suicide	0	0	0	0	0.1055276382	-0.0796904165	0.0501392758	0	-0.0543478261	-0.0278551532	0.0245926176	-0.0132817361	0.1196581197
non-suicide	0.0193905817	0.0397727273	0.0210843373	0.0180722892	0.1761363636	-0.0184166412	0.0464396285	0.0051948052	0.012195122	-0.0092879257	0.0190633838	-0.0030694402	0.0888888889
non-suicide	0.0107526882	0.0256410256	0.0086956522	0.0043478261	0.1538461538	-0.0578615854	0.0579710145	0.0256410256	0.0133333333	0.0072463768	0.0337306617	-0.0096435976	0.0365296804
non-suicide	0.0040733198	0.0078740157	0.004415011	0.0022075055	0.1181102362	-0.0348698267	0.0553278689	0.0018214936	-0.0130434783	-0.0143442623	0.0224579254	-0.0058116378	0.1053571429
non-suicide	0.0114285714	0.036036036	0.0136054422	0.0340136054	0.2702702703	-0.0804664331	0.064516129	0	-0.0495049505	-0.0230414747	0.0245146821	-0.0134110722	0.0188679245
non-suicide	0.0034965035	0.0075757576	0.0053475936	0.0213903743	0.1060606061	-0.0948138409	0.0714285714	0.0113636364	-0.0504201681	-0.0401785714	0.0329913586	-0.0158023068	0.039039039
non-suicide	0.0234741784	0.0609756098	0.0352941176	0.0094117647	0.2479674797	-0.1042323688	0.0649895178	0.0072202166	-0.0666666667	-0.035639413	0.0333636613	-0.0173720615	0.0780619112
non-suicide	0	0	0	0.012605042	0.1081081081	-0.1009566965	0.0873786408	0.007751938	-0.0288461538	-0.067961165	0.0326055486	-0.0168261161	0.0594059406
non-suicide	0.0074074074	0.0172413793	0.0068493151	0.0102739726	0.0775862069	-0.087240838	0.078817734	0	-0.0673076923	-0.0197044335	0.028830365	-0.0145401397	0.0641025641
non-suicide	0	0	0	0.0257731959	0.1914893617	-0.0808180708	0.0769230769	0.0054644809	-0.0444444444	-0.0192307692	0.0296571856	-0.0134696785	0.0652173913
non-suicide	0.009771987	0.0283018868	0.0157894737	0	0.1603773585	-0.106947413	0.1034482759	0.0308880309	0.0106382979	-0.0492610837	0.0389665295	-0.0178245688	0.0207100592
non-suicide	0	0	0	0.0066225166	0.1363636364	-0.0870050706	0.067357513	0.0132743363	-0.0283018868	-0.0362694301	0.0288177256	-0.0145008451	0.0224719101
non-suicide	0.0036101083	0.0070921986	0.0033670034	0.0134680135	0.1205673759	-0.0605118084	0.0357142857	0.0137931034	-0.0396825397	0	0.0281076218	-0.0100853014	0.0458715596
non-suicide	0	0	0	0.0181818182	0.0729927007	-0.0477112676	0.0669014085	0.003058104	0	-0.0352112676	0.0253217777	-0.0079518779	0.0207715134
non-suicide	0	0	0	0.0465116279	0.1604938272	-0.1070813217	0.0855263158	0.0144230769	-0.0512820513	-0.0394736842	0.033226631	-0.0178468869	0.030075188
non-suicide	0.0017953321	0.0050251256	0.0014641288	0.0073206442	0.1256281407	-0.0395955769	0.0638888889	0.0022222222	-0.0053475936	-0.025	0.0267294229	-0.0065992628	0.0570032573
non-suicide	0.0048465267	0.0106007067	0.0087719298	0.0204678363	0.0954063604	-0.1004320343	0.0605536332	0.0072780204	-0.0418250951	-0.0363321799	0.0309523026	-0.0167386724	0.0830985915
non-suicide	0.0070422535	0.0125	0.0077220077	0.0077220077	0.075	0.033066683	0.0544747082	0.0068259386	0.0519480519	-0.0155642023	0.0141356626	0.0055111138	0.1150159744
non-suicide	0.0043668122	0.0085470085	0.0036231884	0.0072463768	0.2051282051	-0.0282600617	0.05	0.0154440154	-0.0091743119	0.0045454545	0.0247670561	-0.0047100103	0.0892193309
non-suicide	0.0014367816	0.0032154341	0.0021367521	0.0106837607	0.1639871383	-0.0578204243	0.0543293718	0.0058139535	-0.0144404332	-0.0271646859	0.0280737152	-0.0096367374	0.1009055627
non-suicide	0	0	0	0.0277777778	0.1651376147	0.0366726835	0.0279329609	0.0048780488	0.0095238095	0.0279329609	0.0232770216	0.0061121139	0.0327102804
non-suicide	0.003236246	0.0067567568	0.0051282051	0.0102564103	0.1216216216	-0.00322115	0.048582996	0.020979021	0	-0.008097166	0.0247027113	-0.0005368583	0.0341880342
non-suicide	0.0113636364	0.0224719101	0.0076335878	0.0076335878	0.1123595506	-0.0362207533	0.0588235294	0.0191082803	0.0114942529	-0.0147058824	0.0254925181	-0.0060367922	0.0853080569
non-suicide	0.0043336945	0.0106666667	0.0075329567	0.0018832392	0.112	-0.0606905538	0.0661672909	0.002994012	-0.0234604106	-0.0299625468	0.0270210917	-0.0101150923	0.108365019
non-suicide	0.00390625	0.0072992701	0.0034602076	0.0207612457	0.1459854015	-0.0908949883	0.0803212851	0	-0.0158730159	-0.0642570281	0.0284662459	-0.0151491647	0.0484429066
non-suicide	0.0108225108	0.0242718447	0.0165562914	0.0529801325	0.0485436893	-0.0129433305	0.0406504065	0.0023752969	-0.0104166667	0	0.0216725846	-0.0021572218	0.0742659758
non-suicide	0.0057142857	0.0112359551	0.004950495	0.0148514851	0.202247191	-0.1530232003	0.0909090909	0.0203045685	-0.0555555556	-0.0727272727	0.0383749024	-0.0255038667	0.0528846154
non-suicide	0.0055248619	0.0095238095	0.0141843972	0	0.0666666667	-0.1176379808	0.0625	0.012195122	-0.0520833333	-0.0284090909	0.0317623044	-0.0196063301	0.0962441315
non-suicide	0.0157894737	0.0352941176	0.0179640719	0	0.0941176471	0.0086155674	0.053030303	0.0130718954	0	0.0151515152	0.0203476619	0.0014359279	0.0697674419
non-suicide	0.0028735632	0.0093457944	0.0042735043	0.0128205128	0.1962616822	-0.1960952472	0.1063829787	0.0089686099	-0.06	-0.0744680851	0.04446336	-0.0326825412	0.0881612091
non-suicide	0	0	0	0	0.0330578512	-0.0247907031	0.0207253886	0.0046948357	-0.0166666667	0.0207253886	0.0193735801	-0.0041317839	0.1131221719
non-suicide	0	0	0	0	0.0614035088	0.0110079755	0.0316622691	0	0.0092592593	-0.0052770449	0.0176227239	0.0018346626	0.130952381
non-suicide	0	0	0	0.0432432432	0.0549450549	-0.0759682761	0.0559440559	0.0055248619	-0.0112359551	-0.034965035	0.020050744	-0.0126613794	0.0701754386
non-suicide	0.0115384615	0.0247933884	0.0193548387	0.0322580645	0.0661157025	-0.1755868155	0.0601851852	0.0231660232	-0.0588235294	-0.0416666667	0.0364960955	-0.0292644693	0.0555555556
non-suicide	0.0050505051	0.01179941	0.0102564103	0.0666666667	0.0648967552	-0.0799873278	0.0581867388	0.0043715847	-0.0580645161	-0.0175913396	0.0317522254	-0.0133312213	0.0887700535
non-suicide	0.006263048	0.0161290323	0.0090909091	0.0090909091	0.1021505376	0.0534263629	0.0410094637	0.0056022409	0.0517241379	-0.0063091483	0.0207190305	0.0089043938	0.0724381625
non-suicide	0.0024875622	0.0043859649	0.0029411765	0	0.0570175439	-0.0025062657	0.0392156863	0.0025062657	0	0	0.0179074841	-0.0004177109	0.1126760563
non-suicide	0.0112044818	0.0211640212	0.0178173719	0.004454343	0.1058201058	-0.0618234125	0.0461538462	0	-0.0342857143	-0.0223776224	0.024519318	-0.0103039021	0.0572472594
non-suicide	0	0	0	0	0.1929824561	-0.0106900452	0.0523560209	0.0047393365	0	-0.0157068063	0.0196709667	-0.0017816742	0.0905349794
non-suicide	0.006993007	0.0170454545	0.0080428954	0	0.1875	-0.0899555845	0.084548105	0.0072815534	-0.0245398773	-0.055393586	0.0297493012	-0.0149925974	0.0708502024
non-suicide	0.0115511551	0.0267175573	0.0195530726	0.0055865922	0.0267175573	-0.0864719116	0.0468085106	0.0018382353	-0.0532786885	-0.0276595745	0.0243811353	-0.0144119853	0.1154929577
non-suicide	0.0061728395	0.0112359551	0.0040160643	0.0080321285	0.1123595506	-0.1722119777	0.1059602649	0.0228571429	-0.0697674419	-0.0794701987	0.0419281989	-0.0287019963	0.0819672131
non-suicide	0.0057803468	0.0108695652	0.0104529617	0.031358885	0.0688405797	-0.1212574683	0.0633397313	0.0115511551	-0.062992126	-0.0345489443	0.0324978697	-0.020209578	0.0538336052
non-suicide	0.0091324201	0.0210526316	0.0100502513	0.0150753769	0.1578947368	-0.1028585115	0.0506329114	0.0317460317	-0.0326086957	-0.0379746835	0.0274576821	-0.0171430852	0.0778210117
non-suicide	0.0021186441	0.0055555556	0.0027932961	0.0027932961	0.1722222222	-0.1101978175	0.061971831	0.0089686099	-0.0481927711	-0.0309859155	0.0342382337	-0.0183663029	0.0436300175
non-suicide	0	0	0	0	0.1686746988	-0.0655855162	0.0507246377	0.012195122	0.0126582278	-0.0217391304	0.0252690319	-0.0109309194	0.0620155039
non-suicide	0.0094339623	0.0185185185	0.0142857143	0.019047619	0.1358024691	-0.1188716275	0.0704697987	0.0052770449	-0.0839160839	-0.0268456376	0.0322762103	-0.0198119379	0.0702576112
non-suicide	0	0	0	0.003021148	0.097826087	-0.1063409386	0.0735294118	0.0054644809	-0.0402298851	-0.0441176471	0.0292512699	-0.0177234898	0.0710227273
non-suicide	0.0100430416	0.0193370166	0.0102790015	0.0014684288	0.0994475138	-0.0425778445	0.0384615385	0.0063613232	-0.0243902439	-0.0118343195	0.0228610667	-0.0070963074	0.0880503145
non-suicide	0.0336134454	0.0533333333	0.0224719101	0	0.0933333333	-0.0285055446	0.0256410256	0.0079365079	-0.012987013	0.0085470085	0.0182865223	-0.0047509241	0.1374045802
non-suicide	0.0065359477	0.0106382979	0.0059171598	0.0236686391	0.0319148936	0.0157356241	0.0683229814	0	-0.0112359551	-0.0124223602	0.0207717397	0.002622604	0.0523560209
non-suicide	0.0071428571	0.0106382979	0.0042918455	0.0300429185	0.0638297872	0.0004301075	0.06	0	0	0.0133333333	0.0212085086	7.16845878136E-005	0.0609756098
non-suicide	0	0	0	0.0066225166	0.09	0.0141542873	0.0838709677	0	0.0212765957	-0.0193548387	0.0205920786	0.0023590479	0.125
non-suicide	0.0096774194	0.0177514793	0.0129310345	0.0129310345	0.1597633136	-0.0542046043	0.0714285714	0.0029239766	-0.0193548387	-0.025974026	0.0284797671	-0.0090341007	0.0751445087
non-suicide	0.0017574692	0.0039525692	0.0029850746	0.0059701493	0.0711462451	-0.0447539416	0.0602636535	0.0030487805	-0.0132743363	-0.0282485876	0.0241075739	-0.0074589903	0.0754985755
non-suicide	0	0	0	0	0.0865384615	-0.074531351	0.0705882353	0	0	-0.0470588235	0.0258934343	-0.0124218918	0.0864864865
non-suicide	0.0058479532	0.0098039216	0.0051020408	0.0102040816	0.1470588235	-0.0573957235	0.0365853659	0.0112359551	0	-0.012195122	0.0208440829	-0.0095659539	0.0578947368
non-suicide	0.0069444444	0.0094339623	0.0050251256	0.0150753769	0.0566037736	-0.039401891	0.059602649	0.0062893082	0	-0.0331125828	0.0242475599	-0.0065669818	0.0487804878
non-suicide	0.0067114094	0.011627907	0.003968254	0.0119047619	0.1046511628	-0.0347260769	0.0902255639	0	0.0238095238	-0.045112782	0.0271953654	-0.0057876795	0.0598802395
non-suicide	0.0152671756	0.0212765957	0.0163934426	0	0.0319148936	-0.061507093	0.0428571429	0	-0.0337078652	-0.0142857143	0.0180118722	-0.0102511822	0.0986842105
non-suicide	0	0	0	0.006993007	0.0204081633	-0.1952307934	0.15	0.0217391304	-0.0377358491	-0.1125	0.0438711042	-0.0325384656	0.0514705882
non-suicide	0	0	0	0	0.0925925926	-0.2547162589	0.0476190476	0.0404040404	-0.0740740741	-0.0357142857	0.0475232566	-0.0424527098	0.0336134454
non-suicide	0.0130718954	0.021978022	0.013986014	0.013986014	0.1318681319	-0.1202679291	0.0604026846	0.0186335404	-0.011627907	-0.033557047	0.0296015664	-0.0200446548	0.0643274854
non-suicide	0	0	0	0.0082644628	0.2131147541	-0.0379136189	0.0808080808	0.0172413793	0	-0.0202020202	0.0220600518	-0.0063189365	0.0548780488
non-suicide	0.0016666667	0.0037453184	0.0036630037	0.0622710623	0.0674157303	-0.1219928377	0.0667870036	0.0145137881	-0.0456431535	-0.036101083	0.0344976575	-0.0203321396	0.0632737276
non-suicide	0.0055555556	0.012987013	0.0050505051	0.0050505051	0.1168831169	-0.1126756127	0.0833333333	0.0064102564	-0.0540540541	-0.0454545455	0.0273446523	-0.0187792688	0.0491071429
non-suicide	0.0053475936	0.0119047619	0.006993007	0.041958042	0.2857142857	0.0038870324	0.0601503759	0	0	-0.015037594	0.0198934837	0.0006478387	0.0765550239
non-suicide	0.0057142857	0.0153846154	0.0062111801	0	0.2153846154	-0.0058640822	0.0438596491	0.0074074074	0.0163934426	0.0087719298	0.0205706701	-0.000977347	0.0666666667
non-suicide	0	0	0	0.0103092784	0.130952381	-0.1241091138	0.0714285714	0	-0.0476190476	-0.05	0.0313124146	-0.0206848523	0.0324324324
non-suicide	0	0	0	0.0147783251	0.1411764706	0.0104129024	0.0714285714	0.0068965517	0.012195122	-0.0158730159	0.0219153909	0.0017354837	0.06
non-suicide	0.0055555556	0.0153846154	0.0062893082	0.0062893082	0.1076923077	-0.0333087965	0.0789473684	0.006993007	0	-0.0263157895	0.0269321081	-0.0055514661	0.0432692308
non-suicide	0	0	0	0.0084388186	0.1739130435	-0.1009712929	0.0682926829	0.00390625	-0.0619469027	-0.0390243902	0.0311387403	-0.0168285488	0.1243093923
non-suicide	0.0067114094	0.0120481928	0.0065359477	0	0.0963855422	-0.1097881222	0.0472440945	0	-0.0963855422	0.0078740157	0.0318564704	-0.0182980204	0.0994152047
non-suicide	0.0108108108	0.0204081633	0.0118343195	0.0059171598	0.0612244898	-0.1126664636	0.1011235955	0.0047393365	-0.0217391304	-0.0617977528	0.0323928499	-0.0187777439	0.0814479638
non-suicide	0	0	0	0	0.0612244898	-0.0515970892	0.0559006211	0.0158730159	0	-0.0248447205	0.0277138636	-0.0085995149	0.103286385
non-suicide	0	0	0	0.0229007634	0.1446540881	-0.0066998625	0.0427350427	0	0.0063291139	-0.0170940171	0.0204582417	-0.0011166438	0.0513595166
non-suicide	0	0	0	0	0.1627906977	-0.03815068	0.0281690141	0	-0.011627907	-0.0070422535	0.0195694959	-0.0063584467	0.0734463277
non-suicide	0	0	0	0	0.1126760563	-0.0542038068	0.0540540541	0	-0.0422535211	-0.036036036	0.0197648006	-0.0090339678	0.1066666667
non-suicide	0	0	0	0	0.0506329114	-0.1174586568	0.0551181102	0	-0.0641025641	-0.0393700787	0.0243378669	-0.0195764428	0.0898876404
non-suicide	0.005	0.011627907	0.0052910053	0	0.2790697674	-0.1860517296	0.1096774194	0.0279329609	-0.0348837209	-0.064516129	0.0453356501	-0.0310086216	0.0614754098
non-suicide	0.0076335878	0.0133333333	0.0053475936	0.0053475936	0.0933333333	-0.1113529775	0.0462962963	0.0168067227	-0.0422535211	0	0.0338322632	-0.0185588296	0.0909090909
non-suicide	0	0	0	0	0.0380952381	-0.0871692579	0.0621118012	0	-0.0495049505	-0.0434782609	0.021903122	-0.0145282096	0.132183908
non-suicide	0	0	0	0	0.0754716981	-0.1403949824	0.0879120879	0	-0.0566037736	-0.0659340659	0.0333514756	-0.0233991637	0.0476190476
non-suicide	0	0	0	0	0.0821917808	-0.08589598	0.0720720721	0.0081967213	-0.0666666667	-0.036036036	0.0272903638	-0.0143159967	0.0546875
non-suicide	0	0	0	0.0135135135	0.0476190476	-0.0742714996	0.0666666667	0.0142857143	-0.0714285714	-0.0333333333	0.0278843876	-0.0123785833	0.0141843972
non-suicide	0.0061728395	0.0113636364	0.0065789474	0	0.1363636364	-0.0892606438	0.0756578947	0.0058823529	-0.0178571429	-0.0625	0.0235556338	-0.014876774	0.0596205962
non-suicide	0.0056818182	0.0125786164	0.0076335878	0.0190839695	0.0817610063	-0.0228402112	0.0507936508	0.0131926121	-0.0272108844	0.0095238095	0.0229919601	-0.0038067019	0.035443038
non-suicide	0.0106382979	0.0136986301	0.0076923077	0	0.095890411	-0.0018974209	0.0754716981	0	0.0547945205	-0.0660377358	0.0164049313	-0.0003162368	0.0727272727
non-suicide	0	0	0	0.0050761421	0.1315789474	-0.0257393511	0.027173913	0	0	-0.0054347826	0.01476511	-0.0042898919	0.1147540984
non-suicide	0.0279329609	0.0625	0.0241545894	0.0289855072	0.1	-0.0925484968	0.0729927007	0.0121212121	-0.012987013	-0.0291970803	0.0290631797	-0.0154247495	0.0717703349
non-suicide	0.0036101083	0.0060240964	0.0038910506	0.0116731518	0.0722891566	-0.1417639946	0.0524475524	0.0127388535	-0.0636942675	-0.0104895105	0.0386078892	-0.0236273324	0.1034482759
non-suicide	0	0	0	0.0235294118	0.1447368421	0.0060421234	0.0434782609	0.0078740157	0	-0.0260869565	0.0197416447	0.0010070206	0.0544217687
non-suicide	0.0046948357	0.009009009	0.0035087719	0.0070175439	0.045045045	0.0208333333	0.0104166667	0	0	0.0208333333	0.0110269222	0.0034722222	0.0723404255
non-suicide	0.0128205128	0.0350877193	0.0067340067	0	0.4561403509	-0.0254961611	0.0927835052	0	-0.0169491525	0	0.0225622806	-0.0042493602	0.043715847
non-suicide	0.0171821306	0.0292397661	0.0148809524	0.005952381	0.0584795322	0.031796663	0.0553633218	0	0	-0.0034602076	0.0187916007	0.0052994438	0.0833333333
