suicide-class	passive/tok	passive/typ	passive/time	(“I” + mental-verb)/time	neut/typ	diff between sums across all n-grams	% non-suicide 2-grams	% non-suicide 4-grams	diff for 1-gram %s	diff for 2-gram %s	average for all non-suicide n-gram %s	diff between n-gram % averages	det/token
non-suicide	0	0	0	0.0172413793	0.3166666667	-0.0120887239	0.0747663551	0	0	-0.0280373832	0.0210412528	-0.0020147873	0.0607476636
non-suicide	0.0087719298	0.012987013	0.0056497175	0.0056497175	0.0779220779	-0.0557029083	0.0769230769	0.0241935484	0.0519480519	-0.0427350427	0.0320451632	-0.009283818	0.0697674419
non-suicide	0	0	0	0.0032154341	0.5526315789	0.0372494136	0.012987013	0.0074626866	0	0.038961039	0.0122689435	0.0062082356	0.0235849057
non-suicide	0.0045045045	0.0153846154	0.0057471264	0	0.3538461538	-0.0675436205	0.0625	0	0	-0.0446428571	0.0206339303	-0.0112572701	0.1393728223
non-suicide	0	0	0	0	1.234375	-0.2591950745	0.1214285714	0.0454545455	-0.0161290323	-0.0857142857	0.0553448976	-0.0431991791	0.0147783251
non-suicide	0.0037878788	0.014084507	0.0030120482	0.0090361446	0.8450704225	-0.1082542568	0.0828025478	0.0217391304	-0.0422535211	-0.0382165605	0.041601382	-0.0180423761	0.0111111111
non-suicide	0	0	0	0.0322580645	0.2857142857	-0.109972762	0.0837209302	0.0101265823	-0.0425531915	-0.0418604651	0.0347992518	-0.0183287937	0.0197841727
non-suicide	0	0	0	0	1.4255319149	-0.0618539651	0.0808080808	0.0172413793	0	0	0.0318042066	-0.0103089942	0.095890411
non-suicide	0.0071428571	0.0315789474	0.0097402597	0.012987013	0.1052631579	-0.1529870228	0.0845771144	0.0129032258	-0.0561797753	-0.0646766169	0.034297369	-0.0254978371	0.0383877159
non-suicide	0.0023980815	0.0097087379	0.0050251256	0	0.6019417476	-0.0610994704	0.0938967136	0.0101351351	0.0194174757	-0.0516431925	0.0286970485	-0.0101832451	0.0487329435
non-suicide	0	0	0	0.0815602837	0.3870967742	-0.1356722158	0.0742574257	0.0062695925	-0.0813953488	-0.0445544554	0.0367752872	-0.022612036	0.0925507901
non-suicide	0.0039525692	0.0096153846	0.0039370079	0	0.2692307692	-0.1546526603	0.08	0.01953125	-0.0693069307	-0.02	0.0395623605	-0.0257754434	0.085443038
non-suicide	0	0	0	0	0.1780821918	-0.1210819841	0.0387596899	0.0055555556	-0.0540540541	-0.023255814	0.0271397045	-0.0201803307	0.0795454545
non-suicide	0.0204603581	0.0824742268	0.0449438202	0.0337078652	0.2680412371	-0.0360900622	0.076142132	0.0064308682	0	-0.0355329949	0.0230887772	-0.0060150104	0.0436507937
non-suicide	0	0	0	0.0223214286	0.3611111111	-0.090218059	0.0625	0.0116959064	-0.0135135135	-0.03125	0.0288630009	-0.0150363432	0.0563380282
non-suicide	0.0037593985	0.0119047619	0.0037453184	0.0187265918	0.2142857143	-0.1080316247	0.0595238095	0.0094339623	-0.0705882353	-0.0178571429	0.0274877863	-0.0180052708	0.0444444444
non-suicide	0	0	0	0.0597014925	0.3442622951	-0.1020371097	0.08	0.0055555556	-0.0166666667	-0.056	0.0307025273	-0.017006185	0.0154440154
non-suicide	0	0	0	0.030418251	0.15625	0.0385911868	0.0374331551	0.0128755365	0	0.0160427807	0.0189590344	0.0064318645	0.0681818182
non-suicide	0	0	0	0.0128205128	0.3404255319	-0.261859746	0.1063829787	0.0632911392	0.0217391304	-0.085106383	0.0583420171	-0.043643291	0.0652173913
non-suicide	0	0	0	0	0.3289473684	-0.1396592735	0.0754716981	0.008583691	-0.0526315789	-0.0377358491	0.0363337929	-0.0232765456	0.0966666667
non-suicide	0	0	0	0	0.4285714286	0.1259930538	0.0442477876	0	0	0.0442477876	0.0086566826	0.0209988423	0.1301115242
non-suicide	0.0052493438	0.017699115	0.0106382979	0.0106382979	0.7787610619	-0.0872783093	0.0772727273	0.0068027211	-0.0272727273	-0.0590909091	0.0274730219	-0.0145463849	0.0357142857
non-suicide	0	0	0	0	0.4901960784	-0.076089355	0.0520833333	0.0078740157	0	-0.0416666667	0.0249835056	-0.0126815592	0.108
non-suicide	0	0	0	0	0.3777777778	0.0373069193	0.04	0	0	0.0133333333	0.0168707483	0.0062178199	0.1802816901
non-suicide	0	0	0	0.0137931034	0.2804878049	-0.009182292	0.0441176471	0.0056818182	-0.0126582278	-0.0147058824	0.0177276535	-0.001530382	0.04296875
non-suicide	0	0	0	0	0.5666666667	-0.1057137303	0.0867052023	0.0264150943	-0.0107526882	-0.0462427746	0.0310262809	-0.0176189551	0.0161870504
non-suicide	0	0	0	0.0047393365	0.1634615385	-0.0470205739	0.04784689	0.0168918919	0	0	0.0271112721	-0.0078367623	0.0403587444
non-suicide	0.0017699115	0.0104166667	0.0039215686	0.0039215686	0.1770833333	0.0186528532	0.0574162679	0.0070921986	-0.0104166667	0.028708134	0.0266253339	0.0031088089	0.0243902439
non-suicide	0.0042194093	0.0158730159	0.00456621	0.0136986301	0.2857142857	-0.0692335859	0.08	0.0364583333	0.0158730159	-0.024	0.0349700878	-0.011538931	0.0379746835
non-suicide	0.0043859649	0.0222222222	0.0055555556	0	0.0444444444	-0.0940789474	0.125	0	0	-0.0625	0.0313230994	-0.0156798246	0.0938628159
non-suicide	0	0	0	0.0231213873	0.2717391304	-0.0951800839	0.0887573964	0	-0.043956044	-0.0414201183	0.0290498843	-0.0158633473	0.0676923077
non-suicide	0	0	0	0.0129310345	0.4545454545	-0.0624587401	0.0446428571	0.0058479532	-0.0714285714	-0.0178571429	0.0279580921	-0.01040979	0.0925449871
non-suicide	0	0	0	0.046875	0.3888888889	-0.0937851554	0.0656565657	0.0132890365	-0.0222222222	-0.0303030303	0.0314624437	-0.0156308592	0.0542168675
non-suicide	0.0769230769	0.2727272727	0.1448275862	0	0.1428571429	-0.0982560925	0.0863309353	0.0109289617	-0.0131578947	-0.0503597122	0.0295245192	-0.0163760154	0.0239520958
non-suicide	0	0	0	0.0187793427	0.2933333333	-0.065237991	0.0333333333	0.0315315315	-0.0131578947	0.0266666667	0.0327575676	-0.0108729985	0.0347826087
non-suicide	0	0	0	0.046728972	0.4102564103	-0.2022051904	0.1363636364	0.0172413793	-0.0476190476	-0.1363636364	0.0456323993	-0.0337008651	0.0199203187
non-suicide	0.0086206897	0.0352941176	0.0128205128	0	0.4470588235	-0.0943369886	0.0883977901	0.0039215686	-0.025974026	-0.0497237569	0.0309419524	-0.0157228314	0.130733945
non-suicide	0	0	0	0.0196078431	0.183908046	0.0052641353	0.0714285714	0.0067567568	0	0.0054945055	0.0243482384	0.0008773559	0.0217755444
non-suicide	0	0	0	0	1.0833333333	0.0153351204	0.0689655172	0	-0.0192307692	0.0459770115	0.0196013419	0.0025558534	0.0451612903
non-suicide	0	0	0	0	0.5	-0.2782028944	0.0697674419	0.0540540541	-0.0476190476	-0.0465116279	0.0575783754	-0.0463671491	0.1111111111
non-suicide	0	0	0	0.0251572327	0.4571428571	-0.0032760033	0.0454545455	0	0.027027027	-0.0303030303	0.0096854622	-0.0005460005	0.0456621005
non-suicide	0	0	0	0.0240963855	0.1379310345	-0.0825794045	0.0797546012	0.0047619048	-0.0235294118	-0.0490797546	0.0254014438	-0.0137632341	0.0507042254
non-suicide	0.0034364261	0.0078740157	0.0062111801	0.0062111801	0.1102362205	-0.0858340611	0.0698689956	0.003649635	-0.064	-0.0218340611	0.027521079	-0.0143056769	0.0948012232
non-suicide	0.0209205021	0.0495049505	0.0197628458	0.0118577075	0.1881188119	-0.2202606019	0.0895522388	0.0259259259	-0.0606060606	-0.0597014925	0.0459940425	-0.0367101003	0.0376712329
non-suicide	0.0083333333	0.02	0.0066666667	0.0066666667	0.03	-0.1127994002	0.108974359	0.0173410405	-0.0198019802	-0.0576923077	0.0332954076	-0.0187999	0.0685920578
non-suicide	0.009009009	0.0215053763	0.0088105727	0	0.1397849462	-0.0750304638	0.0641025641	0.0207253886	-0.0215053763	-0.0320512821	0.0331642765	-0.0125050773	0.0975609756
non-suicide	0	0	0	0	0.175	0.0008558196	0.0418848168	0.0046082949	0	0.0104712042	0.0222863977	0.0001426366	0.0580204778
non-suicide	0	0	0	0.0216216216	0.268907563	-0.0544356535	0.0414507772	0.0082644628	-0.0256410256	-0.0207253886	0.0189771451	-0.0090726089	0.0983146067
non-suicide	0.0210526316	0.0705882353	0.0342857143	0.0857142857	0.1176470588	-0.0907975773	0.0902777778	0.0054054054	-0.025974026	-0.0416666667	0.0283578635	-0.0151329296	0.0722891566
non-suicide	0.0038461538	0.0101010101	0.0035087719	0.0105263158	0.2323232323	0.0259661836	0.0380434783	0	0	0.0163043478	0.0155587597	0.0043276973	0.1077441077
non-suicide	0.004587156	0.0107526882	0.0054945055	0	0.0430107527	-0.1086977782	0.0925925926	0.027027027	-0.0227272727	-0.037037037	0.0405389116	-0.0181162964	0.0528455285
non-suicide	0.0055555556	0.0128205128	0.005988024	0.0119760479	0.1923076923	-0.1344368925	0.0714285714	0.0397350993	0	-0.0317460317	0.0400484432	-0.0224061487	0.018957346
non-suicide	0.0029325513	0.0094339623	0.0033444816	0.0267558528	0.141509434	-0.0780348148	0.0792079208	0.0162601626	0	-0.0445544554	0.0298744918	-0.0130058025	0.0460358056
non-suicide	0	0	0	0.0184331797	0.9772727273	-0.0441025641	0.0923076923	0.012345679	0	-0.0307692308	0.021886673	-0.0073504274	0.0236686391
non-suicide	0	0	0	0.00390625	0.1486486486	-0.0627070409	0.0866141732	0.0063291139	-0.014084507	-0.0472440945	0.0280153612	-0.0104511735	0.0034602076
non-suicide	0.0079681275	0.0163934426	0.0098522167	0.0246305419	0.1393442623	-0.0292591415	0.0428571429	0.0082304527	-0.0084745763	0.0047619048	0.0206272512	-0.0048765236	0.1076388889
non-suicide	0.0035842294	0.0075757576	0.0028735632	0.0057471264	0.1666666667	-0.0928810648	0.0669642857	0.003968254	-0.056	-0.0491071429	0.0271959091	-0.0154801775	0.0698412698
non-suicide	0.0062111801	0.0142857143	0.0050251256	0	0.1428571429	-0.0215074824	0.0727272727	0.0066666667	0.0289855072	-0.0363636364	0.0217945844	-0.0035845804	0.0617977528
non-suicide	0.0032894737	0.009009009	0.0029069767	0.0290697674	0.0810810811	0.0194826007	0.0769230769	0.0091324201	0	0.0054945055	0.0271020456	0.0032471001	0.0668523677
non-suicide	0.0184501845	0.0609756098	0.0215517241	0.0086206897	0.1097560976	-0.0471002527	0.0615384615	0.0318471338	-0.038961039	0.0076923077	0.0431414072	-0.0078500421	0.0396039604
non-suicide	0.0068027211	0.0173913043	0.0086206897	0.0086206897	0.0869565217	-0.047418369	0.0942408377	0.0043103448	0	-0.0471204188	0.0256702332	-0.0079030615	0.1101694915
non-suicide	0	0	0	0	0.125	0.0512892904	0.0869565217	0	0.0238095238	0.0144927536	0.0166572558	0.0085482151	0.0634920635
non-suicide	0.0084033613	0.0163934426	0.0045045045	0	0.0983606557	-0.037011327	0.0891089109	0	0.0491803279	-0.0594059406	0.0235361065	-0.0061685545	0.074829932
non-suicide	0.0042372881	0.011627907	0.0047393365	0.0047393365	0.1744186047	0.02143426	0.037593985	0.0065789474	-0.0229885057	0.037593985	0.0156967012	0.0035723767	0.0639097744
non-suicide	0	0	0	0	0.0549450549	-0.0183499303	0.0544217687	0.0055248619	0.0340909091	-0.0340136054	0.0197670078	-0.0030583217	0.051369863
non-suicide	0.0034722222	0.0074074074	0.0040160643	0.0120481928	0.0962962963	-0.0819321161	0.0611353712	0.0076335878	-0.0538461538	-0.0087336245	0.028208288	-0.0136553527	0.0753012048
non-suicide	0.012345679	0.0404040404	0.0145454545	0.0254545455	0.2222222222	-0.0765152685	0.0617977528	0.012605042	0	-0.0337078652	0.0271226043	-0.0127525448	0.1145833333
non-suicide	0	0	0	0.0065789474	0.1182795699	-0.1330117352	0.0902777778	0.0177514793	-0.0222222222	-0.0625	0.0374299806	-0.0221686225	0.0398773006
non-suicide	0.006097561	0.0128205128	0.0037313433	0	0.1025641026	-0.056358446	0.0709219858	0	-0.0555555556	-0.0070921986	0.029902092	-0.0093930743	0.0555555556
non-suicide	0.02	0.0571428571	0.0235294118	0.0764705882	0.0571428571	0.093872549	0.0416666667	0.0126582278	0.0147058824	0.0166666667	0.0125263713	0.0156454248	0.0565217391
non-suicide	0	0	0	0.0082987552	0.1333333333	-0.1610012858	0.1153846154	0.0196078431	-0.0163934426	-0.0865384615	0.0329232912	-0.0268335476	0.0129032258
non-suicide	0.0139534884	0.0365853659	0.0106007067	0.0212014134	0.1829268293	-0.0716578055	0.0483870968	0.013986014	-0.012345679	-0.0161290323	0.0205934699	-0.0119429676	0.0806451613
non-suicide	0	0	0	0	0.0681818182	-0.0730431627	0.0687022901	0.0065359477	-0.0235294118	-0.0152671756	0.0295152636	-0.0121738604	0.034351145
non-suicide	0.0154320988	0.0423728814	0.0210084034	0.0798319328	0.1355932203	0.0613174971	0.0422535211	0.003649635	0	0.0422535211	0.0182862955	0.0102195828	0.0343007916
non-suicide	0	0	0	0.0051282051	0.1265822785	0.0977783284	0.0079365079	0	0.025974026	0.0476190476	0.01454697	0.0162963881	0.1136363636
non-suicide	0.0163934426	0.0421052632	0.0198019802	0.0148514851	0.0947368421	-0.0987568695	0.0588235294	0.0051020408	-0.0434782609	-0.0326797386	0.0317383524	-0.0164594782	0.0869565217
non-suicide	0	0	0	0.0048076923	0.3820224719	0.0091319952	0.045751634	0.0115606936	0.0574712644	-0.0130718954	0.0164289778	0.0015219992	0.0752688172
non-suicide	0.0038022814	0.009009009	0.0025974026	0	0.2792792793	-0.1331110288	0.0825242718	0.0212765957	-0.0566037736	-0.0291262136	0.0377716811	-0.0221851715	0.0519480519
non-suicide	0	0	0	0.0117647059	0.1333333333	-0.0262915327	0.0530973451	0	0	-0.017699115	0.0176114186	-0.0043819221	0.0566037736
non-suicide	0	0	0	0	0.2403846154	-0.0432307225	0.0862068966	0.0101010101	-0.0101010101	-0.0229885057	0.0323702625	-0.0072051204	0.0414012739
non-suicide	0	0	0	0	0.1111111111	-0.0712817852	0.0894308943	0.0133333333	0	-0.0650406504	0.0287048187	-0.0118802975	0.0867768595
non-suicide	0.0136518771	0.0412371134	0.0198019802	0.004950495	0.2474226804	-0.0233723986	0.0571428571	0	-0.0322580645	-0.0057142857	0.0217684104	-0.0038953998	0.128358209
non-suicide	0	0	0	0.023255814	0.1630434783	-0.0761844681	0.049689441	0.0103092784	-0.0470588235	-0.0124223602	0.0261789358	-0.0126974114	0.0553846154
non-suicide	0	0	0	0	0.2375	-0.1472857186	0.1197183099	0.0119047619	-0.0120481928	-0.0915492958	0.0405398914	-0.0245476198	0.0365853659
non-suicide	0.0101351351	0.0288461538	0.012244898	0.0326530612	0.2788461538	-0.0494397206	0.0829015544	0.0084033613	0	-0.0362694301	0.0298804513	-0.0082399534	0.0787172012
non-suicide	0.0037313433	0.0108695652	0.0047393365	0.018957346	0.3369565217	0.0227033987	0.0481927711	0.004950495	0.0229885057	0	0.0151359216	0.0037838998	0.0749185668
non-suicide	0	0	0	0.0044642857	0.1368421053	-0.0590065071	0.0694444444	0	-0.0505050505	-0.0277777778	0.0316558442	-0.0098344179	0.1126760563
non-suicide	0	0	0	0.017699115	0.1354166667	0.0118214152	0.0318471338	0.0058823529	0.010989011	0.0127388535	0.0156222872	0.0019702359	0.0643564356
non-suicide	0.04	0.1	0.025862069	0.0459770115	0.1555555556	0.0371468117	0.0410958904	0.006097561	0.0108695652	0.0136986301	0.0146334177	0.0061911353	0.0463320463
non-suicide	0	0	0	0.0028248588	0.3085106383	-0.0079373703	0.0484848485	0.0053763441	-0.011627907	-0.0242424242	0.0185910008	-0.0013228951	0.1039755352
non-suicide	0	0	0	0.0073260073	0.1971830986	-0.0188580982	0.0701754386	0.0153846154	0	-0.0350877193	0.0218512079	-0.0031430164	0.0613496933
non-suicide	0.0198675497	0.0394736842	0.012195122	0.0203252033	0.0394736842	0.0360680894	0.0384615385	0	0.0285714286	0.0076923077	0.0182812459	0.0060113482	0.0597826087
non-suicide	0	0	0	0.0814814815	0.1408450704	-0.0710816437	0.0733944954	0.0081967213	0	-0.0458715596	0.0287288307	-0.0118469406	0.0365296804
non-suicide	0.0661157025	0.2	0.0557491289	0.0662020906	0.625	0.0057880331	0.0465116279	0	-0.0131578947	-0.015503876	0.0166783032	0.0009646722	0.110701107
non-suicide	0	0	0	0.0176470588	0.1034482759	0.0676447735	0.020979021	0.0063694268	0	0.034965035	0.0117476171	0.0112741289	0.0538116592
non-suicide	0	0	0	0.1037037037	0.2222222222	0.0209592116	0.0163934426	0.01875	0	0.0245901639	0.0170994489	0.0034932019	0.0714285714
non-suicide	0	0	0	0.0303030303	0.5	0.0838965912	0.0306122449	0	-0.0169491525	0.0918367347	0.0152562628	0.0139827652	0.0144927536
non-suicide	0.0049751244	0.0126582278	0.0042735043	0.0042735043	0.0379746835	-0.0206896552	0.0542635659	0	0	0	0.0224339859	-0.0034482759	0.0729613734
non-suicide	0.0264423077	0.1009174312	0.0387323944	0.0105633803	0.1467889908	-0.0331687115	0.0717948718	0.020746888	0.0476190476	-0.0256410256	0.0242126646	-0.0055281186	0.0530612245
non-suicide	0.0091324201	0.0227272727	0.0112359551	0.0112359551	0.1931818182	-0.0296982988	0.0526315789	0	-0.0222222222	-0.0131578947	0.0189781588	-0.0049497165	0.0810810811
non-suicide	0	0	0	0.0026809651	0.1	-0.0636990143	0.0704225352	0	-0.037037037	-0.0070422535	0.036390577	-0.0106165024	0.0593220339
non-suicide	0.0062305296	0.0181818182	0.0067114094	0.0033557047	0.3727272727	-0.0321731313	0.0588235294	0.0041493776	-0.0294117647	0.0147058824	0.0253940203	-0.0053621885	0.0584958217
non-suicide	0.012012012	0.0350877193	0.0120845921	0.0090634441	0.1666666667	-0.0374613137	0.0292682927	0.0041841004	-0.0363636364	-0.0048780488	0.0198364302	-0.0062435523	0.0700808625
non-suicide	0.0023809524	0.0092592593	0.0029325513	0.0146627566	0.3148148148	-0.0275255552	0.0646766169	0.024	0.01	-0.0149253731	0.0231702096	-0.0045875925	0.0792291221
non-suicide	0	0	0	0.0625	0.2903225806	-0.0232504338	0.0714285714	0.0141843972	-0.0307692308	0	0.0269736671	-0.0038750723	0.0452961672
non-suicide	0	0	0	0	0.125	-0.0333038609	0.0344827586	0	-0.1111111111	0.1034482759	0.0328126535	-0.0055506435	0.0161290323
non-suicide	0.006993007	0.0147058824	0.00243309	0	0.3676470588	-0.0208311197	0.0188679245	0	0.0151515152	-0.0094339623	0.017670443	-0.0034718533	0.0520231214
non-suicide	0	0	0	0	0.1228070175	0.0717633066	0.0266666667	0	0.0847457627	0.0133333333	0.0138482506	0.0119605511	0.0875
non-suicide	0	0	0	0.0241286863	0.2380952381	-0.1006404654	0.0808823529	0.0194805195	0.012195122	-0.0735294118	0.03383375	-0.0167734109	0.0829015544
non-suicide	0.0145631068	0.0303030303	0.0093457944	0.0062305296	0.1111111111	-0.0660478701	0.0592105263	0.021978022	-0.0113636364	-0.0065789474	0.0350543624	-0.0110079783	0.0423728814
non-suicide	0	0	0	0.0066666667	0.1	-0.0644020697	0.0774193548	0.0263157895	0	-0.0322580645	0.0302965136	-0.0107336783	0.082781457
non-suicide	0	0	0	0	0.0888888889	0.0358974359	0.0327868852	0	0.0666666667	0	0.010592686	0.005982906	0.048951049
non-suicide	0	0	0	0.0119760479	0.2191780822	-0.0554433759	0.0689655172	0.0071942446	0	-0.0172413793	0.0240552027	-0.0092405626	0.1620111732
non-suicide	0	0	0	0.102661597	0.1090909091	-0.0838640949	0.0571428571	0	-0.0392156863	-0.0342857143	0.0252795073	-0.0139773491	0.0621301775
non-suicide	0	0	0	0.0049261084	0.1818181818	0.0497570471	0.0291970803	0.0068027211	0.023255814	-0.0145985401	0.012567581	0.0082928412	0.0718232044
non-suicide	0	0	0	0.0342465753	0.2179487179	0.0487196719	0.0234375	0	0.0131578947	0.0078125	0.0118133417	0.0081199453	0.0342857143
non-suicide	0.0192307692	0.0519480519	0.0137457045	0.0343642612	0.2077922078	0.083481038	0.05	0	0.0263157895	0.0214285714	0.0135566188	0.0139135063	0.027027027
non-suicide	0	0	0	0.0130434783	0.1007751938	-0.008333179	0.0488888889	0	0.0169491525	-0.0088888889	0.0185329773	-0.0013888632	0.0824742268
non-suicide	0	0	0	0	0.3265306122	0.0366751677	0.0322580645	0.0046296296	0	0.0268817204	0.013653836	0.006112528	0.0433070866
non-suicide	0	0	0	0	0.2051282051	-0.0707070707	0.1136363636	0	0.0277777778	-0.0984848485	0.0258212758	-0.0117845118	0.0539215686
non-suicide	0.0051813472	0.0111111111	0.0040322581	0.0403225806	0.0888888889	0.0248836349	0.0377358491	0.0055248619	-0.0235294118	0.0251572327	0.0218590013	0.0041472725	0.0434782609
non-suicide	0.0055555556	0.0143884892	0.0086956522	0	0.1726618705	0.030393998	0.0536398467	0.0101010101	0	-0.0038314176	0.0174241724	0.0050656663	0.0606796117
non-suicide	0.0088495575	0.0198019802	0.0080645161	0	0.1683168317	-0.1074917115	0.0883977901	0.0142180095	0	-0.0497237569	0.0312276656	-0.0179152852	0.0898876404
non-suicide	0	0	0	0	0.1351351351	0.0692982456	0	0	0	0.0526315789	0.0043859649	0.0115497076	0.0431034483
non-suicide	0	0	0	0.0050761421	0.1935483871	0.0827452653	0.0404040404	0.0090909091	0.0338983051	0.0202020202	0.011074017	0.0137908775	0.0563380282
non-suicide	0.0120481928	0.025	0.0093896714	0	0.1875	0.0660808374	0.020979021	0	-0.0266666667	0.048951049	0.0165782645	0.0110134729	0.1145833333
non-suicide	0.0031847134	0.0074626866	0.0026737968	0.0106951872	0.2537313433	0.0270920437	0.0401606426	0.0065789474	0.0085470085	-0.0120481928	0.014620732	0.0045153406	0.075
non-suicide	0	0	0	0.0030395137	0.223880597	-0.0182834724	0.05	0.0052356021	-0.0151515152	-0.0071428571	0.0302054021	-0.0030472454	0.0683760684
non-suicide	0.0102564103	0.0206185567	0.006514658	0.013029316	0.1237113402	-0.0213960345	0.0443037975	0	-0.021978022	0.0063291139	0.0222043949	-0.0035660057	0.0742358079
non-suicide	0.0025906736	0.0133333333	0.0033444816	0.0267558528	0.24	0.0172152832	0.0508474576	0.0206896552	0.0136986301	0.0169491525	0.0261865084	0.0028692139	0.085106383
